"id","pair","timestamp_utc","open_1h","high_1h","low_1h","close_1h","volume_1h","quote_volume_1h","taker_buy_base_1h","rsi_1h","rsi_slope_1h","macd_hist_slope_1h","macd_slope_1h","atr_1h","bollinger_width_1h","donchian_channel_width_1h","supertrend_direction_1h","parabolic_sar_1h","money_flow_index_1h","obv_slope_1h","volume_change_pct_1h","rsi_4h","rsi_slope_4h","macd_hist_slope_4h","macd_slope_4h","atr_4h","bollinger_width_4h","donchian_channel_width_4h","supertrend_direction_4h","money_flow_index_4h","obv_slope_4h","volume_change_pct_4h","rsi_1d","rsi_slope_1d","macd_hist_slope_1d","macd_slope_1d","atr_1d","bollinger_width_1d","donchian_channel_width_1d","supertrend_direction_1d","money_flow_index_1d","obv_slope_1d","volume_change_pct_1d","performance_rank_btc_1h","performance_rank_eth_1h","volatility_rank_1h","volume_rank_1h","estimated_slippage_1h","bid_ask_spread_1h","hour_of_day","day_of_week","future_return_1h_pct","future_return_4h_pct","future_return_12h_pct","future_return_1d_pct","future_return_3d_pct","future_return_1w_pct","future_return_2w_pct","features_computed","targets_computed","was_profitable_12h","prev_close_change_pct","prev_volume_rank","future_max_return_24h_pct","future_max_drawdown_12h_pct"
8598314,ARG-USDT,2025-03-23 13:00:00.000 +0100,0.6378,0.6378,0.6378,0.6378,6.2088,3.95997264,3.95997264,46.72506407230572,0.08728163135575784,-0.0000651332381242,-0.00003815332101,0.002656620811455759,0.010781465577548444,0.017000000000000015,0,0.6368065592596629,74.6085907924431,18.257766666666914,-0.8866455006362589,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,,,,,0.0,0.0,12,6,,,,,,,,true,true,0,0.0,15.151515151515152,0.0,0.0
8598315,ARG-USDT,2025-03-23 12:00:00.000 +0100,0.638,0.6382,0.6378,0.6378,54.7733,34.94683538,34.94683538,46.72506407230572,-0.6700134538976457,-0.0000974157124624,-0.0000541524858171,0.0028609762584908176,0.011227305999208292,0.017000000000000015,0,0.6360920843187903,56.29028728754408,-354.4132666666701,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,,,,,0.0004,-0.0002,11,6,,,,,,,,true,true,0,0.0001568135486907,1.1363636363636365,0.0,0.0
8506221,ARG-USDT,2025-03-23 11:00:00.000 +0100,0.6377,0.6377,0.6377,0.6377,0.0,0.0,0.0,46.46321917823845,-0.39719323696211006,-0.0001515845384108,-0.0000839673836499,0.0030425898168362697,0.011678544429844617,0.017000000000000015,0,0.6353320045944577,65.98912056059785,-358.66703333334107,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,,,,,0.0,0.0,10,6,,,,,,,,true,true,0,0.0,64.39393939393939,0.0,0.0
8506222,ARG-USDT,2025-03-23 10:00:00.000 +0100,0.6392,0.6396,0.6377,0.6377,1118.0131,713.44816472,713.44816472,46.46321917823845,-6.157455558957267,-0.0002161321624851,-0.0001106188731216,0.0032766351873621366,0.011789486842091579,0.017000000000000015,0,0.6345234091430401,67.96776401506901,-624.0012333333434,25.611756164905263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,,,,,0.0018999999999999018,-0.0014999999999999458,9,6,,,,,,,,true,true,0,-0.0017219787100813955,12.121212121212121,0.0,0.0
8506223,ARG-USDT,2025-03-23 09:00:00.000 +0100,0.6381,0.6388,0.6381,0.6388,42.012,26.8151956,26.8151956,48.73510443399866,-4.791234184301932,-0.0001905731933322,-0.0000310268633473,0.0033825302017746165,0.011881599218954042,0.017000000000000015,0,0.6336632012160001,74.40383624756856,213.42269999999553,-0.947221277920449,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,,,,,0.0007,0.0007,8,6,,,,,,,,true,true,0,0.0007833307222309,58.14393939393939,0.0,0.0
8506224,ARG-USDT,2025-03-23 08:00:00.000 +0100,0.642,0.642,0.6374,0.6383,796.0026,508.47471196,508.47471196,47.65479888912478,-1.8260037883351619,-0.0002990859357228,-0.0000918963074049,0.0035888786788342,0.012084039059844454,0.017000000000000015,0,0.6327480864,74.93470447641775,1447.4665333333348,-0.4290854344319315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,,,,,0.0046000000000000485,-0.0037000000000000366,7,6,,,,,,,,true,true,0,-0.010541001395132588,68.18181818181817,0.0,0.0
8506225,ARG-USDT,2025-03-23 07:00:00.000 +0100,0.6446,0.648,0.6421,0.6451,1394.2587,898.62343202,898.62343202,64.93558585511025,5.612726108925152,0.000293060436221,0.0005750215484696,0.0032726385772060586,0.012866390325178667,0.019000000000000017,0,0.63177456,68.59278273871868,1776.62506666667,-0.6276161156750536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,,,,,0.005900000000000016,0.0005000000000001,6,6,,,,,,,,true,true,0,0.0015525539512497577,83.90151515151516,0.0,0.0
8506226,ARG-USDT,2025-03-23 06:00:00.000 +0100,0.6397,0.6459,0.6388,0.6441,3744.1435,2407.0902941,2407.0902941,63.108806986904455,6.673772812929653,0.0004150094769779,0.0006237054801712,0.003070533852375754,0.013316140582009917,0.019000000000000017,0,0.631186,66.34362868650592,1373.1994999999977,18.554420205459778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,,,,,0.007099999999999995,0.0043999999999999595,5,6,,,,,,,,true,true,0,0.0068782241675784395,31.62878787878788,0.0,0.0
8506227,ARG-USDT,2025-03-23 05:00:00.000 +0100,0.6385,0.6403,0.6385,0.6397,191.473,122.41932288,122.41932288,53.13281025413026,3.577898785707127,0.0002256463484284,0.0003305899823772,0.0027605749179431204,0.014453013526592118,0.019000000000000017,0,0.631,53.139905318188745,152.71676666665977,0.04071593960278741,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,,,,,0.0018000000000000238,0.0012000000000000899,4,6,,,,,,,,true,true,0,0.0026645768025079786,30.492424242424242,0.0,0.0
8506228,ARG-USDT,2025-03-23 04:00:00.000 +0100,0.6366,0.638,0.6366,0.638,183.982,117.26481961,117.26481961,48.09740752833479,1.8994312104419702,0.0001780364822437,0.0002265685290854,0.0027960037577849017,0.017675293491194566,0.019000000000000017,0,0.6394833792452974,52.20043574839133,88.89243333332706,1.2248180972800147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,,,,,0.0013999999999999568,0.0013999999999999568,3,6,,,,,,,,true,true,0,0.002356637863315081,20.833333333333336,0.0,0.0
